order_id,order_date,store,product,category,quantity,unit_price,total_sales,customer_state,payment_method
1001,2026-01-05,Loja A,Notebook,Eletrônicos,2,3500.00,7000.00,SP,PIX
1002,2026-01-06,Loja B,Mouse,Periféricos,5,80.00,400.00,RJ,Cartão
1003,2026-01-07,Loja A,Teclado,Periféricos,3,150.00,450.00,MG,PIX
1004,2026-01-08,Loja C,Monitor,Eletrônicos,2,1200.00,2400.00,SP,Boleto
1005,2026-01-09,Loja B,Cadeira,Escritório,1,900.00,900.00,RJ,Cartão
1006,2026-01-10,Loja A,Headset,Periféricos,4,250.00,1000.00,MG,PIX
1007,2026-01-11,Loja C,Notebook,Eletrônicos,1,3500.00,3500.00,SP,Cartão
1008,2026-01-12,Loja B,Mouse,Periféricos,,80.00,400.00,RJ,PIX
1009,2026-01-13,Loja A,Teclado,Periféricos,2,150.00,300.00,MG,Cartão
1010,2026-01-14,Loja C,Monitor,Eletrônicos,1,1200.00,1200.00,SP,PIX
1011,2026-01-15,Loja B,Cadeira,Escritório,2,900.00,1800.00,RJ,Boleto
1012,2026-01-16,Loja A,Headset,Periféricos,3,250.00,750.00,MG,PIX
1013,2026-01-17,Loja C,Notebook,Eletrônicos,2,3500.00,7000.00,SP,Cartão
1014,2026-01-18,Loja B,Mouse,Periféricos,5,80.00,400.00,RJ,PIX
1015,2026-01-19,Loja A,Teclado,Periféricos,2,150.00,300.00,MG,Cartão
1016,2026-01-20,Loja C,Monitor,Eletrônicos,2,1200.00,2400.00,SP,Boleto
1017,2026-01-21,Loja B,Cadeira,Escritório,1,900.00,900.00,RJ,Cartão
1018,2026-01-22,Loja A,Headset,Periféricos,4,250.00,1000.00,MG,PIX
1019,2026-01-23,Loja C,Notebook,Eletrônicos,1,3500.00,3500.00,SP,Cartão
1020,2026-01-24,Loja B,Mouse,Periféricos,5,80.00,400.00,RJ,PIX
1020,2026-01-24,Loja B,Mouse,Periféricos,5,80.00,400.00,RJ,PIX
1021,2026-01-25,Loja A,Teclado,Periféricos,2,150.00,300.00,MG,Cartão
1022,2026-01-26,Loja C,Monitor,Eletrônicos,2,1200.00,2400.00,SP,Boleto
1023,2026-01-27,Loja B,Cadeira,Escritório,1,900.00,900.00,RJ,Cartão
1024,2026-01-28,Loja A,Headset,Periféricos,4,250.00,1000.00,MG,PIX
1025,2026-01-29,Loja C,Notebook,Eletrônicos,1,3500.00,3500.00,SP,Cartão
1026,2026-01-30,Loja B,Mouse,Periféricos,5,80.00,-400.00,RJ,PIX
1027,2026-01-31,Loja A,Teclado,Periféricos,2,150.00,300.00,MG,Cartão
1028,2026-02-01,Loja C,Monitor,Eletrônicos,2,1200.00,2400.00,SP,Boleto
1029,2026-02-02,Loja B,Cadeira,Escritório,1,900.00,900.00,RJ,Cartão
1030,2026-02-03,Loja A,Headset,Periféricos,4,250.00,1000.00,MG,PIX
